ds,n.min,binID,Rs.spearman.r,Rs.spearman.p,abu
0.2,48,bin41,-0.0166339570617596,0.632,0.00609827533203087
0.2,48,bin30,0.034863067043175,0.273,0.000841807175849479
0.2,48,bin34,0.234993641257285,0.001,0.0066529655136002
0.2,48,bin32,0.310167154328182,0.001,0.0047083081511378
0.2,48,bin31,-0.00513729916502377,0.573,0.00501790447208878
0.2,48,bin33,0.00734543359092403,0.437,0.00234141560176047
0.2,48,bin35,0.377109087262306,0.001,0.00716783486577173
0.2,48,bin36,0.206904237547019,0.001,0.0170554552444985
0.2,48,bin38,0.0463062370081046,0.121,0.018665449158078
0.2,48,bin37,0.041587954816698,0.079,0.0270686162605499
0.2,48,bin39,0.0437724582847224,0.159,0.00785199717498455
0.2,48,bin40,0.024387452294148,0.306,0.0110021720205468
0.2,48,bin42,0.0659709549422443,0.095,0.00147608602986294
0.2,48,bin43,0.100944474151333,0.016,0.00196855730089401
0.2,48,bin52,-0.052973648443028,0.944,0.0139823117530284
0.2,48,bin44,0.00205862031128961,0.433,0.00818426813135096
0.2,48,bin45,0.07432129016789,0.143,0.00155227802585625
0.2,48,bin46,0.0621696423251417,0.124,0.0022590032166845
0.2,48,bin47,0.176831586104245,0.01,0.00307609993440282
0.2,48,bin49,0.0181064974194726,0.291,0.00184820253420416
0.2,48,bin48,0.000815878135891717,0.486,0.00247274785076338
0.2,48,bin50,0.0165940607604719,0.274,0.00545344033965586
0.2,48,bin51,0.0183288248765313,0.36,0.00163339649332247
0.2,48,bin53,0.0545594642138241,0.034,0.00608438934722697
0.2,48,bin54,0.0267631188500423,0.258,0.00296769187353787
0.2,48,bin65,0.102878614436048,0.021,0.00552214388342948
0.2,48,bin55,0.00273490345747996,0.485,0.00548331574800666
0.2,48,bin56,0.169077552745547,0.001,0.00240901347895141
0.2,48,bin60,0.0516934997446819,0.026,0.0153634228815684
0.2,48,bin58,0.124929005174053,0.017,0.00417264856702256
0.2,48,bin57,0.072845405213847,0.044,0.00817750427758129
0.2,48,bin59,0.0728632345360792,0.078,0.0108722575970311
0.2,48,bin62,0.0202516197342934,0.295,0.00244787791516365
0.2,48,bin61,0.00648596500987307,0.413,0.00156571555405158
0.2,48,bin63,0.0418138362511574,0.265,0.00268322160707099
0.2,48,bin64,0.0174840790696583,0.289,0.0099079940651946
0.2,48,bin66,0.133430579634094,0.03,0.00342330721787775
0.2,48,bin97,-0.037188263190347,0.88,0.00182167901621253
0.2,48,bin68,0.272764051111432,0.001,0.00113721334415453
0.2,48,bin67,0.0749310455087934,0.04,0.000836732650478103
0.2,48,bin69,0.111104322876681,0.001,0.00263968970558345
0.2,48,bin70,-0.0313356238789606,0.791,0.00191462418367279
0.2,48,bin71,-0.0651359991817947,0.85,0.0012414777420956
0.2,48,bin72,-0.0531291848002797,0.831,0.00216526770720597
0.2,48,bin73,-0.0598682463836052,0.942,0.0028624285033297
0.2,48,bin77,-0.0269014302772253,0.734,0.00166203123256471
0.2,48,bin74,-0.00546385113923309,0.562,0.00512373372530192
0.2,48,bin75,-0.101207123711662,0.997,0.00101112016686594
0.2,48,bin76,0.0592770031144013,0.093,0.00261931051662865
0.2,48,bin78,0.0580134162689359,0.059,0.0024118037915843
0.2,48,bin79,0.0436312102691171,0.091,0.00234020998744469
0.2,48,bin80,-0.00862229434567323,0.585,0.00277650836546379
0.2,48,bin81,-0.0731863507774712,0.965,0.00191798153903585
0.2,48,bin82,0.0352875986637647,0.212,0.00122383632519373
0.2,48,bin83,-0.0765356257039485,0.961,0.00114503229831539
0.2,48,bin84,0.018869872764028,0.314,0.0014403244935862
0.2,48,bin85,-0.0161363924885716,0.608,0.000895225069884287
0.2,48,bin86,-0.0051296557019528,0.538,0.00144298057623585
0.2,48,bin87,0.117799692214731,0.001,0.00381753443571334
0.2,48,bin94,-0.0435452324807302,0.991,0.00896441992398556
0.2,48,bin88,0.023028205307154,0.23,0.00205851952367672
0.2,48,bin90,-0.00354432722833344,0.536,0.00477462490320579
0.2,48,bin89,0.0692076802234192,0.045,0.00173020906583072
0.2,48,bin91,0.0689536243446975,0.017,0.003002463141322
0.2,48,bin92,0.211186446896489,0.005,0.00120504976154978
0.2,48,bin93,0.0805641327276852,0.062,0.000856576449691391
0.2,48,bin96,0.0967217842715855,0.002,0.00529991642205889
0.2,48,bin95,0.0866132075249464,0.001,0.00466867445295771
0.2,48,bin98,-0.0480457133198694,0.911,0.00113141543026549
0.2,48,bin99,0.15802455418826,0.008,0.000704073582259916
0.2,48,bin100,0.146387885881695,0.006,0.000788299580183044
0.2,48,bin101,0.0150720688741627,0.269,0.00222522226779817
0.2,48,bin116,-0.0513591658864592,0.911,0.00111159276015715
0.2,48,bin115,0.067956888779982,0.037,0.0113065590143078
0.2,48,bin103,-0.00684118595049193,0.595,0.0109703632018784
0.2,48,bin102,0.0575609263717087,0.01,0.0120144536452605
0.2,48,bin104,0.115939973598208,0.001,0.0148608451963842
0.2,48,bin105,0.0110210079284646,0.288,0.0098157524580454
0.2,48,bin106,-0.00336035468044801,0.495,0.0100551558035535
0.2,48,bin110,0.0532996283315062,0.074,0.0103938259597523
0.2,48,bin108,0.0549254283703311,0.17,0.00430162362756753
0.2,48,bin107,0.0668349157371387,0.097,0.0148043323111089
0.2,48,bin109,0.134556004564953,0.002,0.00682710202030524
0.2,48,bin111,0.0171704728611234,0.334,0.00347072864481976
0.2,48,bin112,-0.00436492443756568,0.554,0.00274692050697907
0.2,48,bin113,0.0689468353594317,0.078,0.00347055047232982
0.2,48,bin114,0.0570079117473146,0.069,0.00809195776244027
0.2,48,bin144,0.0348088384726649,0.106,0.00179335169126041
0.2,48,bin117,0.0310759807363845,0.253,0.00377550854588199
0.2,48,bin118,0.102561363126262,0.036,0.00177233520729664
0.2,48,bin119,0.0118471222783851,0.356,0.00639209153716922
0.2,48,bin120,-0.00716559320978714,0.552,0.00205954063407583
0.2,48,bin121,-0.0428846113348826,0.915,0.00181169060910058
0.2,48,bin122,0.195553909542729,0.001,0.00483550369573884
0.2,48,bin123,0.0644765172916768,0.135,0.0089279615117988
0.2,48,bin124,-0.0475362873833857,0.824,0.00208262354581035
0.2,48,bin125,0.0383673473182621,0.071,0.00686902492948675
0.2,48,bin126,0.0939337696510827,0.023,0.00563895816059115
0.2,48,bin128,0.205670008961926,0.001,0.00371165991507131
0.2,48,bin127,0.0124077228306928,0.386,0.00329001521279518
0.2,48,bin130,0.0185641458201326,0.247,0.0112525835706654
0.2,48,bin129,-0.00107667902905611,0.506,0.00516476592285702
0.2,48,bin132,0.0236686093597316,0.312,0.00211878893638464
0.2,48,bin131,-0.0693026057807085,0.901,0.00208783402305267
0.2,48,bin133,0.066741861227445,0.06,0.00579527090912854
0.2,48,bin134,0.0281484114959988,0.139,0.00148817025700471
0.2,48,bin135,0.0408980741639737,0.197,0.00214611826046218
0.2,48,bin136,-0.0605933399414417,0.863,0.00194519948453812
0.2,48,bin137,0.0509095239999398,0.06,0.00129721035834561
0.2,48,bin138,-0.0291961581594557,0.783,0.00416284796433629
0.2,48,bin139,0.00923717198400511,0.401,0.00269919206306004
0.2,48,bin140,-0.00907090874477741,0.564,0.0129230693197378
0.2,48,bin141,0.0388919991214994,0.266,0.00150772888110701
0.2,48,bin142,0.099525574654364,0.001,0.003589159093819
0.2,48,bin143,0.0628846980384224,0.042,0.0015705546561131
0.2,48,bin145,0.00816304947448201,0.417,0.00149598415793417
0.2,48,bin149,-0.0310081776315441,0.829,0.00284490449338675
0.2,48,bin146,0.146561722800259,0.001,0.00249825065940845
0.2,48,bin147,-0.0938408666299388,0.947,0.00148777642396703
0.2,48,bin148,-0.0063132894425601,0.575,0.00330526502716405
0.2,48,bin150,0.0447096634043406,0.164,0.00306687921104583
0.2,48,bin151,0.119822110031691,0.008,0.00491760336525683
0.2,48,bin152,0.00817710389903292,0.445,0.00323176293819602
0.2,48,bin153,-0.0371662099878729,0.819,0.00680971671597454
0.2,48,bin155,0.15692068993809,0.004,0.00176516457392278
0.2,48,bin154,0.100348181281426,0.011,0.00144954785753308
0.2,48,bin163,0.0245352286603934,0.241,0.00203577613517763
0.2,48,bin159,0.176787866460867,0.001,0.00502873468961358
0.2,48,bin156,0.11150268244118,0.007,0.0239642567937811
0.2,48,bin158,0.091416962975418,0.094,0.00290816144727764
0.2,48,bin157,0.105735116985195,0.004,0.00443191575076263
0.2,48,bin160,0.150989284273462,0.002,0.00279434779726958
0.2,48,bin161,0.0337070319007923,0.061,0.0146149016854579
0.2,48,bin162,0.143382831827417,0.002,0.00599538394170319
0.2,48,bin164,0.0150905659965498,0.263,0.00619080069771062
0.2,48,bin165,0.153418815821548,0.002,0.00359906082552055
0.2,48,bin166,0.0336858505595986,0.149,0.00484650016622605
0.2,48,bin167,0.0807136481149267,0.017,0.0029427648212153
0.2,48,bin168,-0.0450391689329448,0.862,0.00426048981819132
0.2,48,bin169,-0.00966748909848927,0.574,0.00203405728161883
0.2,48,bin170,0.133487233144618,0.004,0.00158934682524794
0.2,48,bin171,0.00297645919303205,0.427,0.00114473294104084
0.2,48,bin172,-0.030033344049843,0.774,0.00482129815549323
0.2,48,bin173,-0.00458782568206875,0.506,0.00245123893770769
0.2,48,bin175,0.00844867537156671,0.397,0.00354702544674568
0.2,48,bin174,0.00944274269155309,0.404,0.00508220694867925
0.2,48,bin176,0.127523798405961,0.005,0.00448261300663112
0.2,48,bin179,-0.00777878041487355,0.562,0.00197219758852456
0.2,48,bin178,0.0393532996705899,0.103,0.00987147352242457
0.2,48,bin177,0.0391555675073525,0.203,0.00675230934591065
0.2,48,bin180,0.0315353208118719,0.202,0.00493244562323922
0.2,48,bin185,0.00775573593218264,0.424,0.0020445575011497
0.2,48,bin181,0.0896179144305934,0.046,0.00199157170416793
0.2,48,bin182,-0.0216305756830454,0.646,0.000978441052705062
0.2,48,bin183,0.0297563952129356,0.264,0.00183764404728751
0.2,48,bin184,-0.00922355631233013,0.521,0.000886820681842314
0.2,48,bin187,0.0316385421552344,0.108,0.00545356609103743
0.2,48,bin186,0.0746998468958404,0.085,0.00136824823228452
0.2,48,bin188,0.105996921033577,0.031,0.00112966254421884
0.2,48,bin189,0.0554721778820048,0.059,0.00526963093530376
0.2,48,bin190,0.00485259914667184,0.419,0.00144735125734427
0.2,48,bin192,0.0708985704272074,0.056,0.00257089020762089
0.2,48,bin191,-0.0942997395492557,0.983,0.00190417599903319
0.2,48,bin193,0.137407367519114,0.016,0.00587929828445145
0.2,48,bin194,0.228493116307392,0.001,0.00911892630753688
0.2,48,bin195,0.372520290309753,0.001,0.00213666837538685
0.2,48,bin196,0.0643053964600299,0.031,0.00299221210069331
0.2,48,bin197,0.13892593193287,0.001,0.00559420411619127
0.2,48,bin198,0.234838459102498,0.001,0.00293430734390035
0.2,48,bin199,-0.0773520679857262,0.996,0.00315739075300082
0.2,48,bin200,0.168968903937898,0.001,0.00427784354456437
0.2,48,bin202,0.0140162665572018,0.325,0.00177530147108044
0.2,48,bin201,0.149349245733036,0.01,0.0121376114516155
0.2,48,bin203,0.0511920419404139,0.023,0.0023555065657289
0.2,48,bin204,-0.0615234938965773,0.928,0.00139022050951676
0.2,48,bin206,0.0333954105244825,0.179,0.00281945325266612
0.2,48,bin205,0.0575195991223234,0.041,0.00227982612647222
0.2,48,bin207,0.0125309892092173,0.388,0.00195597744524812
0.2,48,bin208,0.0679728103832136,0.017,0.00358907641105715
0.2,48,bin209,0.0927871575917997,0.027,0.00221078437825306
0.2,48,bin210,-0.0457137085662977,0.774,0.00178742460706142
0.2,48,bin212,-0.0493787459456287,0.875,0.00355545165655848
0.2,48,bin211,-0.0292456133283955,0.806,0.0041484437375331
0.2,48,bin213,-0.0079299569227834,0.576,0.00626888749830114
0.2,48,bin214,0.166286212478859,0.001,0.00785687868033547
0.2,48,bin215,0.0356224229771663,0.164,0.00359540486289236
0.2,48,bin216,0.0173295443307091,0.369,0.00258122793762652
0.2,48,bin217,-0.0088871492068641,0.643,0.00942105680198792
0.2,48,bin218,0.139192468828093,0.026,0.00177667040387796
0.2,48,bin219,-0.0126153929133542,0.573,0.00477112059919682
0.2,48,bin227,0.0691661773182926,0.025,0.00703503042682012
0.2,48,bin221,0.0158480653637486,0.267,0.00729402885145092
0.2,48,bin226,0.0408320385742334,0.079,0.00381143265171682
0.2,48,bin222,0.163393804158742,0.002,0.00150411957342644
0.2,48,bin225,0.0924435045924696,0.036,0.00234268614054551
0.2,48,bin223,0.110859007188407,0.022,0.00112255485048301
0.2,48,bin224,0.185033559331777,0.001,0.00301447398969239
0.2,48,bin228,0.096367445153882,0.02,0.00170661435345729
0.2,48,bin229,0.138597276700246,0.001,0.00537071470060996
0.2,48,bin230,0.0757337264008456,0.003,0.00946853411203802
0.2,48,bin231,0.0459452779963033,0.082,0.00297257965510072
0.2,48,bin5,-0.00157581421505085,0.492,0.00170217548744968
0.2,48,bin1,0.073029861957822,0.084,0.00289215380395733
0.2,48,bin2,0.0219352268522084,0.277,0.00230708536413666
0.2,48,bin3,0.0367122914203213,0.197,0.000933257212303815
0.2,48,bin4,0.219995992086799,0.005,0.000674379029789055
0.2,48,bin220,-0.00467107549623231,0.524,0.00253338162361439
0.2,48,bin6,0.0977248433822035,0.01,0.00191315765711667
0.2,48,bin18,0.0350608804042187,0.173,0.00129629983089622
0.2,48,bin7,0.0322320681813933,0.16,0.00272250489687248
0.2,48,bin8,-0.0214073751600108,0.696,0.0111263891615904
0.2,48,bin9,0.155874218948094,0.003,0.00325795134437741
0.2,48,bin10,-0.0791494537348209,0.998,0.00257685404447597
0.2,48,bin11,0.0275678875853051,0.221,0.00605236768336746
0.2,48,bin14,0.0384897814767984,0.154,0.00156499497012281
0.2,48,bin12,0.0119614825708972,0.395,0.00105189176026162
0.2,48,bin13,0.0189584305257037,0.262,0.0019768907478242
0.2,48,bin15,0.00348607125633851,0.471,0.00137947370637481
0.2,48,bin17,0.177836069565892,0.001,0.00126185096470825
0.2,48,bin16,-0.00749961041109093,0.599,0.00352023114021587
0.2,48,bin19,0.0650565304050163,0.007,0.00181673248373343
0.2,48,bin20,0.0713201587252534,0.059,0.00145833249088186
0.2,48,bin21,0.0359692101475346,0.184,0.00248059904725524
0.2,48,bin22,0.0447066092331202,0.029,0.00827606655022282
0.2,48,bin23,0.0482931626198098,0.169,0.00220287695750839
0.2,48,bin26,-0.0307259825096753,0.814,0.00200936339583656
0.2,48,bin24,0.0126744181588722,0.34,0.00132423400601489
0.2,48,bin25,-0.0623998851245883,0.893,0.00133784961713215
0.2,48,bin27,0.159314635815699,0.003,0.0011818336926922
0.2,48,bin29,0.273924361728775,0.001,0.0132656029654924
0.2,48,bin28,0.0473000007312263,0.14,0.00557798920719089
0.2,48,bin41,-0.0166339570617596,0.67,0.00609827533203087
0.2,48,bin30,0.034863067043175,0.277,0.000841807175849479
0.2,48,bin34,0.234993641257285,0.001,0.0066529655136002
0.2,48,bin32,0.310167154328182,0.001,0.0047083081511378
0.2,48,bin31,-0.00513729916502377,0.58,0.00501790447208878
0.2,48,bin33,0.00734543359092403,0.406,0.00234141560176047
0.2,48,bin35,0.377109087262306,0.001,0.00716783486577173
0.2,48,bin36,0.206904237547019,0.001,0.0170554552444985
0.2,48,bin38,0.0463062370081046,0.112,0.018665449158078
0.2,48,bin37,0.041587954816698,0.089,0.0270686162605499
0.2,48,bin39,0.0437724582847224,0.139,0.00785199717498455
0.2,48,bin40,0.024387452294148,0.278,0.0110021720205468
0.2,48,bin42,0.0659709549422443,0.098,0.00147608602986294
0.2,48,bin43,0.100944474151333,0.017,0.00196855730089401
0.2,48,bin52,-0.052973648443028,0.949,0.0139823117530284
0.2,48,bin44,0.00205862031128961,0.445,0.00818426813135096
0.2,48,bin45,0.07432129016789,0.113,0.00155227802585625
0.2,48,bin46,0.0621696423251417,0.128,0.0022590032166845
0.2,48,bin47,0.176831586104245,0.009,0.00307609993440282
0.2,48,bin49,0.0181064974194726,0.271,0.00184820253420416
0.2,48,bin48,0.000815878135891717,0.48,0.00247274785076338
0.2,48,bin50,0.0165940607604719,0.276,0.00545344033965586
0.2,48,bin51,0.0183288248765313,0.342,0.00163339649332247
0.2,48,bin53,0.0545594642138241,0.047,0.00608438934722697
0.2,48,bin54,0.0267631188500423,0.249,0.00296769187353787
0.2,48,bin65,0.102878614436048,0.026,0.00552214388342948
0.2,48,bin55,0.00273490345747996,0.465,0.00548331574800666
0.2,48,bin56,0.169077552745547,0.001,0.00240901347895141
0.2,48,bin60,0.0516934997446819,0.025,0.0153634228815684
0.2,48,bin58,0.124929005174053,0.014,0.00417264856702256
0.2,48,bin57,0.072845405213847,0.033,0.00817750427758129
0.2,48,bin59,0.0728632345360792,0.083,0.0108722575970311
0.2,48,bin62,0.0202516197342934,0.299,0.00244787791516365
0.2,48,bin61,0.00648596500987307,0.417,0.00156571555405158
0.2,48,bin63,0.0418138362511574,0.247,0.00268322160707099
0.2,48,bin64,0.0174840790696583,0.297,0.0099079940651946
0.2,48,bin66,0.133430579634094,0.02,0.00342330721787775
0.2,48,bin97,-0.037188263190347,0.878,0.00182167901621253
0.2,48,bin68,0.272764051111432,0.002,0.00113721334415453
0.2,48,bin67,0.0749310455087934,0.044,0.000836732650478103
0.2,48,bin69,0.111104322876681,0.002,0.00263968970558345
0.2,48,bin70,-0.0313356238789606,0.782,0.00191462418367279
0.2,48,bin71,-0.0651359991817947,0.85,0.0012414777420956
0.2,48,bin72,-0.0531291848002797,0.826,0.00216526770720597
0.2,48,bin73,-0.0598682463836052,0.934,0.0028624285033297
0.2,48,bin77,-0.0269014302772253,0.731,0.00166203123256471
0.2,48,bin74,-0.00546385113923309,0.539,0.00512373372530192
0.2,48,bin75,-0.101207123711662,0.996,0.00101112016686594
0.2,48,bin76,0.0592770031144013,0.078,0.00261931051662865
0.2,48,bin78,0.0580134162689359,0.064,0.0024118037915843
0.2,48,bin79,0.0436312102691171,0.1,0.00234020998744469
0.2,48,bin80,-0.00862229434567323,0.602,0.00277650836546379
0.2,48,bin81,-0.0731863507774712,0.962,0.00191798153903585
0.2,48,bin82,0.0352875986637647,0.21,0.00122383632519373
0.2,48,bin83,-0.0765356257039485,0.961,0.00114503229831539
0.2,48,bin84,0.018869872764028,0.293,0.0014403244935862
0.2,48,bin85,-0.0161363924885716,0.58,0.000895225069884287
0.2,48,bin86,-0.0051296557019528,0.55,0.00144298057623585
0.2,48,bin87,0.117799692214731,0.002,0.00381753443571334
0.2,48,bin94,-0.0435452324807302,0.991,0.00896441992398556
0.2,48,bin88,0.023028205307154,0.201,0.00205851952367672
0.2,48,bin90,-0.00354432722833344,0.503,0.00477462490320579
0.2,48,bin89,0.0692076802234192,0.041,0.00173020906583072
0.2,48,bin91,0.0689536243446975,0.012,0.003002463141322
0.2,48,bin92,0.211186446896489,0.001,0.00120504976154978
0.2,48,bin93,0.0805641327276852,0.053,0.000856576449691391
0.2,48,bin96,0.0967217842715855,0.001,0.00529991642205889
0.2,48,bin95,0.0866132075249464,0.001,0.00466867445295771
0.2,48,bin98,-0.0480457133198694,0.901,0.00113141543026549
0.2,48,bin99,0.15802455418826,0.013,0.000704073582259916
0.2,48,bin100,0.146387885881695,0.003,0.000788299580183044
0.2,48,bin101,0.0150720688741627,0.31,0.00222522226779817
0.2,48,bin116,-0.0513591658864592,0.924,0.00111159276015715
0.2,48,bin115,0.067956888779982,0.03,0.0113065590143078
0.2,48,bin103,-0.00684118595049193,0.577,0.0109703632018784
0.2,48,bin102,0.0575609263717087,0.008,0.0120144536452605
0.2,48,bin104,0.115939973598208,0.001,0.0148608451963842
0.2,48,bin105,0.0110210079284646,0.291,0.0098157524580454
0.2,48,bin106,-0.00336035468044801,0.485,0.0100551558035535
0.2,48,bin110,0.0532996283315062,0.086,0.0103938259597523
0.2,48,bin108,0.0549254283703311,0.175,0.00430162362756753
0.2,48,bin107,0.0668349157371387,0.09,0.0148043323111089
0.2,48,bin109,0.134556004564953,0.004,0.00682710202030524
0.2,48,bin111,0.0171704728611234,0.317,0.00347072864481976
0.2,48,bin112,-0.00436492443756568,0.565,0.00274692050697907
0.2,48,bin113,0.0689468353594317,0.06,0.00347055047232982
0.2,48,bin114,0.0570079117473146,0.082,0.00809195776244027
0.2,48,bin144,0.0348088384726649,0.129,0.00179335169126041
0.2,48,bin117,0.0310759807363845,0.227,0.00377550854588199
0.2,48,bin118,0.102561363126262,0.034,0.00177233520729664
0.2,48,bin119,0.0118471222783851,0.358,0.00639209153716922
0.2,48,bin120,-0.00716559320978714,0.558,0.00205954063407583
0.2,48,bin121,-0.0428846113348826,0.927,0.00181169060910058
0.2,48,bin122,0.195553909542729,0.002,0.00483550369573884
0.2,48,bin123,0.0644765172916768,0.131,0.0089279615117988
0.2,48,bin124,-0.0475362873833857,0.825,0.00208262354581035
0.2,48,bin125,0.0383673473182621,0.066,0.00686902492948675
0.2,48,bin126,0.0939337696510827,0.011,0.00563895816059115
0.2,48,bin128,0.205670008961926,0.002,0.00371165991507131
0.2,48,bin127,0.0124077228306928,0.383,0.00329001521279518
0.2,48,bin130,0.0185641458201326,0.241,0.0112525835706654
0.2,48,bin129,-0.00107667902905611,0.52,0.00516476592285702
0.2,48,bin132,0.0236686093597316,0.325,0.00211878893638464
0.2,48,bin131,-0.0693026057807085,0.899,0.00208783402305267
0.2,48,bin133,0.066741861227445,0.047,0.00579527090912854
0.2,48,bin134,0.0281484114959988,0.127,0.00148817025700471
0.2,48,bin135,0.0408980741639737,0.226,0.00214611826046218
0.2,48,bin136,-0.0605933399414417,0.881,0.00194519948453812
0.2,48,bin137,0.0509095239999398,0.062,0.00129721035834561
0.2,48,bin138,-0.0291961581594557,0.805,0.00416284796433629
0.2,48,bin139,0.00923717198400511,0.408,0.00269919206306004
0.2,48,bin140,-0.00907090874477741,0.611,0.0129230693197378
0.2,48,bin141,0.0388919991214994,0.295,0.00150772888110701
0.2,48,bin142,0.099525574654364,0.002,0.003589159093819
0.2,48,bin143,0.0628846980384224,0.036,0.0015705546561131
0.2,48,bin145,0.00816304947448201,0.394,0.00149598415793417
0.2,48,bin149,-0.0310081776315441,0.831,0.00284490449338675
0.2,48,bin146,0.146561722800259,0.001,0.00249825065940845
0.2,48,bin147,-0.0938408666299388,0.948,0.00148777642396703
0.2,48,bin148,-0.0063132894425601,0.572,0.00330526502716405
0.2,48,bin150,0.0447096634043406,0.152,0.00306687921104583
0.2,48,bin151,0.119822110031691,0.004,0.00491760336525683
0.2,48,bin152,0.00817710389903292,0.431,0.00323176293819602
0.2,48,bin153,-0.0371662099878729,0.83,0.00680971671597454
0.2,48,bin155,0.15692068993809,0.003,0.00176516457392278
0.2,48,bin154,0.100348181281426,0.01,0.00144954785753308
0.2,48,bin163,0.0245352286603934,0.259,0.00203577613517763
0.2,48,bin159,0.176787866460867,0.001,0.00502873468961358
0.2,48,bin156,0.11150268244118,0.006,0.0239642567937811
0.2,48,bin158,0.091416962975418,0.077,0.00290816144727764
0.2,48,bin157,0.105735116985195,0.002,0.00443191575076263
0.2,48,bin160,0.150989284273462,0.002,0.00279434779726958
0.2,48,bin161,0.0337070319007923,0.067,0.0146149016854579
0.2,48,bin162,0.143382831827417,0.001,0.00599538394170319
0.2,48,bin164,0.0150905659965498,0.26,0.00619080069771062
0.2,48,bin165,0.153418815821548,0.001,0.00359906082552055
0.2,48,bin166,0.0336858505595986,0.156,0.00484650016622605
0.2,48,bin167,0.0807136481149267,0.01,0.0029427648212153
0.2,48,bin168,-0.0450391689329448,0.845,0.00426048981819132
0.2,48,bin169,-0.00966748909848927,0.612,0.00203405728161883
0.2,48,bin170,0.133487233144618,0.005,0.00158934682524794
0.2,48,bin171,0.00297645919303205,0.465,0.00114473294104084
0.2,48,bin172,-0.030033344049843,0.777,0.00482129815549323
0.2,48,bin173,-0.00458782568206875,0.522,0.00245123893770769
0.2,48,bin175,0.00844867537156671,0.449,0.00354702544674568
0.2,48,bin174,0.00944274269155309,0.391,0.00508220694867925
0.2,48,bin176,0.127523798405961,0.006,0.00448261300663112
0.2,48,bin179,-0.00777878041487355,0.591,0.00197219758852456
0.2,48,bin178,0.0393532996705899,0.096,0.00987147352242457
0.2,48,bin177,0.0391555675073525,0.215,0.00675230934591065
0.2,48,bin180,0.0315353208118719,0.202,0.00493244562323922
0.2,48,bin185,0.00775573593218264,0.399,0.0020445575011497
0.2,48,bin181,0.0896179144305934,0.039,0.00199157170416793
0.2,48,bin182,-0.0216305756830454,0.623,0.000978441052705062
0.2,48,bin183,0.0297563952129356,0.236,0.00183764404728751
0.2,48,bin184,-0.00922355631233013,0.513,0.000886820681842314
0.2,48,bin187,0.0316385421552344,0.112,0.00545356609103743
0.2,48,bin186,0.0746998468958404,0.076,0.00136824823228452
0.2,48,bin188,0.105996921033577,0.03,0.00112966254421884
0.2,48,bin189,0.0554721778820048,0.064,0.00526963093530376
0.2,48,bin190,0.00485259914667184,0.434,0.00144735125734427
0.2,48,bin192,0.0708985704272074,0.063,0.00257089020762089
0.2,48,bin191,-0.0942997395492557,0.99,0.00190417599903319
0.2,48,bin193,0.137407367519114,0.01,0.00587929828445145
0.2,48,bin194,0.228493116307392,0.001,0.00911892630753688
0.2,48,bin195,0.372520290309753,0.001,0.00213666837538685
0.2,48,bin196,0.0643053964600299,0.036,0.00299221210069331
0.2,48,bin197,0.13892593193287,0.001,0.00559420411619127
0.2,48,bin198,0.234838459102498,0.001,0.00293430734390035
0.2,48,bin199,-0.0773520679857262,0.988,0.00315739075300082
0.2,48,bin200,0.168968903937898,0.001,0.00427784354456437
0.2,48,bin202,0.0140162665572018,0.287,0.00177530147108044
0.2,48,bin201,0.149349245733036,0.008,0.0121376114516155
0.2,48,bin203,0.0511920419404139,0.018,0.0023555065657289
0.2,48,bin204,-0.0615234938965773,0.932,0.00139022050951676
