Sample_ID	Rs	NH4	pH	SOC	TN	NO3	Water_content	Temp.	Plot	Date	Location	Ecosystem_type	Lat.	Lon.	Elevation	Samples_per_plot	Cord.	Cond.	v_axis	h_axis
L2_H5	1.46	6.875	5.39	31.953084	0.7408288	15.085	15.2	11.6	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	824	0	100
L2_V1	1.5	6.375	5.34	9.6109307	0.1352844	8.46	18.2	13	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	970	5	0
L2_V2	1.21	11.475	5.19	10.502381	0.4358855	10.15	13.1	12.4	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	727	10	0
L2_V3	1.55	7.95	5.19	10.074957	0.4640451	7.265	17.2	13.5	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	921	25	0
L2_V4	1.41	14.2	5.27	10.845653	0.4479641	14.26	17.2	15.8	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	921	50	0
L2_V5	1.1	12.375	5.27	9.1528329	0.4109283	7.41	21.7	15.8	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	1153	100	0
L3_H0	0.05	5.85	5.61	4.398226	0.2142511	9.645	5.2	15.8	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	388	0	0
L3_H1	0.51	6.65	5.53	5.7603055	0.2789385	3.595	10.2	16.3	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	596	0	5
L3_H2	1.09	6.525	6.09	4.7201637	0.2267759	18.28	7.1	17.1	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	465	0	10
L3_H3	0.57	5.95	6.27	4.2959076	0.1933315	9.85	10.7	15.3	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	619	0	25
L3_H4	0.69	6.775	6.2	5.2185741	0.2283713	3.895	2.5	15.2	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	284	0	50
L3_H5	0.73	6.45	6.17	4.7022746	0.2815733	3.145	6.7	13.9	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	450	0	100
L3_V1	1.05	5.725	6.35	5.3128935	0.2738963	6.775	4.5	18	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	362	5	0
L3_V2	0.98	5.35	6.12	7.7738602	0.3618039	2.695	2.2	18.2	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	272	10	0
L3_V3	0.4	6.6	6.1	4.5426098	0.2701999	12.195	7.2	16.3	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	469	25	0
L3_V4	0.43	4	6.43	3.7887727	0.1848925	13.75	10.9	16.9	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	625	50	0
L3_V5	0.38	4.75	6.54	2.909115	0.1576011	11.075	7.2	16.9	L3	2019.07.14	"Jida Township, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.91533333	96.71266667	3900	11	96.7126666666667E 29.9153333333333N	471	100	0
L4_H0	0.7	7.8	6.46	6.3271661	0.2744889	7.175	13.6	16.3	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	748	0	0
L4_H1	1.28	4.725	6.59	6.5102015	0.2648017	7.07	16.5	14.1	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	886	0	5
L4_H2	1.24	5.475	6.36	6.5279609	0.218606	12.775	17.2	13.3	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	921	0	10
L4_H3	2.01	4.45	6.25	5.6593224	0.2407754	9.895	15.5	12.6	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	838	0	25
L4_H4	0.69	5.35	6.34	7.6435447	0.2941774	9.92	19.8	12.2	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	1055	0	50
L4_H5	1.3	5.85	6.3	6.9974218	0.3325592	9.185	15.4	12.9	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	831	0	100
L4_V1	0.73	7.575	6.22	5.4874772	0.2703617	6.385	12.8	14.3	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	710	5	0
L4_V2	0.8	6.55	6.06	5.2270079	0.2672875	10.27	14.5	14.5	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	789	10	0
L4_V3	1.06	6.25	6.32	5.3582741	0.2286928	11.345	15.6	17.3	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	842	25	0
L4_V4	1.02	5.475	6.32	5.9925545	0.2639952	10.815	14.4	13.6	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	785	50	0
L4_V5	1.17	5.975	6.17	7.4888546	0.2693075	6.09	12.2	16.5	L4	2019.07.14	"Baiyitang, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.69233333	96.75366667	4420	11	96.7536666666667E 29.6923333333333N	685	100	0
L5_H0	1.3	5.15	5.72	21.208416	0.6562385	18.19	25.5	19.9	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1375	0	0
L5_H1	1.97	6.35	5.96	7.6895008	0.2288855	12.435	17.9	16.4	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	953	0	5
L5_H2	1.65	33	5.46	17.975131	0.5316988	16.935	23.7	15.6	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1268	0	10
L5_H3	1.21	21.3	5.71	29.499776	0.9141769	14.91	27.9	18.5	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1527	0	25
L5_H4	0.9	10.125	5.78	22.78387	0.6225275	14.045	20	20.5	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1065	0	50
L5_H5	1.19	5.25	5.45	19.011588	0.7400925	16.01	25.3	18.3	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1362	0	100
L5_V1	1.25	33.175	5.37	21.976541	0.7959623	11.505	19.8	19.4	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1055	5	0
L5_V2	1.62	7.625	5.93	14.345891	0.4728497	13.99	19	20.1	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1013	10	0
L5_V3	1.28	9.65	5.7	17.850294	0.6072663	4.185	29.2	21.5	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1612	25	0
L5_V4	1.24	15.525	5.41	38.798733	0.6783952	8.313	27.2	20.5	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1481	50	0
L5_V5	1.3	6.05	4.91	19.203508	0.4864178	18.495	22	25.6	L5	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.34066667	97.202	3814	11	97.202E 29.3406666666667N	1170	100	0
L6_H0	1.97	3.175	5.24	7.729297	0.2376565	11.695	12.8	21	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	710	0	0
L6_H1	1.65	6.75	5.12	7.9046143	0.2419462	10.843	17.2	20.4	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	921	0	5
L6_H2	1.21	10.825	5.34	6.9760277	0.2318257	14.05	15.7	19.2	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	845	0	10
L6_H3	0.9	5.575	5.29	7.2912657	0.2453591	17.12	15.8	20.9	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	854	0	25
L6_H4	1.19	12.275	5.43	7.0253183	0.2509004	11.065	17	20.3	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	909	0	50
L6_H5	4.13	34.125	5.51	27.207118	1.0559714	53.41	5.7	23.9	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	407	0	100
L6_V1	1.25	4.325	5.88	6.5026183	0.2150678	14.179	6.8	24.5	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	454	5	0
L6_V2	1.62	1.675	5.97	2.7809426	0.1932391	15.165	15.7	22.9	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	847	10	0
L6_V3	1.28	9.575	5.86	9.5598158	0.2444755	15.89	7	22.3	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	460	25	0
L6_V4	1.24	4.1	5.96	6.443354	0.1873823	14.96	4.7	24.3	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	369	50	0
L6_V5	1.3	4.875	5.99	7.1500701	0.1901218	11.455	8.3	21.8	L6	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.32766667	97.21066667	3655	11	97.2106666666667E 29.3276666666667N	516	100	0
L7_H0	5.35	5.35	5.5	32.874627	0.5054737	6.165	18.8	28.8	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	1003	0	0
L7_H1	5.32	6.125	5.49	20.205574	0.4839858	20.88	3	24.9	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	303	0	5
L7_H2	2.26	7.425	5.86	8.39597	0.1810834	15.985	19	27.5	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	1013	0	10
L7_H3	1.64	15.15	5.77	16.729323	0.3207887	17.87	13.1	25.5	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	727	0	25
L7_H4	5.26	12.95	5.6	26.467046	0.5320515	16.945	6.4	25.4	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	437	0	50
L7_H5	1.26	12.625	5.62	43.746929	0.6228739	18.915	12.4	28.1	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	692	0	100
L7_V1	1.76	4.025	5.46	15.75627	0.4071912	53.85	15.9	27.9	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	858	5	0
L7_V2	5.73	6.125	6.07	9.3732808	0.200164	22.79	24.2	30.4	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	1295	10	0
L7_V3	3.34	10.325	6.14	5.0390331	0.118768	16.515	14.5	32.3	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	789	25	0
L7_V4	1.87	10.175	5.85	42.663795	0.5220635	19.58	16	31.1	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	863	50	0
L7_V5	1.21	7.05	5.98	8.7342941	0.1293692	15.655	10	31.7	L7	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Coniferous forest	29.12166667	97.27	3124	11	97.27E 29.1216666666667N	586	100	0
L8_H0	3.86	4.025	5.51	19.093836	0.6509796	15.985	5.3	25.8	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	394	0	0
L8_H1	1.97	7.975	5.58	32.842517	0.8731165	36.9	18.2	26.6	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	968	0	5
L8_H2	0.95	39.925	5.85	28.724352	0.896239	49.72	18	22.2	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	958	0	10
L8_H3	1.21	23.375	6.01	20.195567	0.6274542	28.265	11.8	23.4	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	665	0	25
L8_H4	1.7	31.85	5.1	36.524619	0.5988895	62.225	10.5	25	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	609	0	50
L8_H5	2.6	3.975	5.59	3.5511852	0.1880804	9.945	11.9	25.2	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	673	0	100
L8_V1	2.81	28	5.24	35.93894	1.2228853	46.415	3.3	25.4	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	515	5	0
L8_V2	3.55	43.35	5.2	43.583257	1.2308043	32.01	6.7	25.2	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	448	10	0
L8_V3	2.57	46.25	5.13	41.497643	1.0797491	20.65	11.4	24.8	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	651	25	0
L8_V4	2.16	5.125	5.8	26.93001	0.6723651	26.9	14.9	25	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	311	50	0
L8_V5	2.72	40.2	5.48	32.920263	1.0727878	33.755	3.9	25.4	L8	2019.07.17	"Chayu County, Linzhi City, Tibet Autonomous Region"	Mixed forest	28.86333333	97.50433333	2629	11	97.5043333333333E 28.8633333333333N	338	100	0
L9_H0	0.3	3.95	6.2	1.4388216	0.1207462	1.465	2.3	37.6	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	277	0	0
L9_H1	0.97	4.875	6.27	2.1918443	0.1445427	2.485	3.9	38.4	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	338	0	5
L9_H2	0.82	4.075	6.3	1.8979932	0.1155272	3.53	3	37.3	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	301	0	10
L9_H3	0.62	4.45	6.42	1.8997988	0.1418118	7.335	1.5	39.7	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	246	0	25
L9_H4	0.7	4.325	6.35	1.7197198	0.0934899	2.555	0.5	39.9	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	208	0	50
L9_H5	0.36	4.4	6.49	1.0695534	0.0907819	1.685	2.7	36.6	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	293	0	100
L9_V1	0.72	4.2	6.53	1.8750862	0.1139679	1.945	2	39.2	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	223	5	0
L9_V2	0.78	4.35	6.56	2.0968632	0.1527132	2.2	2.2	39.3	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	272	10	0
L9_V3	0.64	4.25	6.7	2.3802916	0.1601147	2.755	1.9	40.1	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	262	25	0
L9_V4	0.81	4.525	6.54	2.5819445	0.1510972	1.96	1.3	38.7	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	240	50	0
L9_V5	0.39	4.475	6.92	2.3843143	0.1522943	0.92	1.2	42.4	L9	2019.07.18	"Chawalong, Chayu County, Linzhi City, Tibet Autonomous Region"	Dry-hot valley	28.56766667	98.40866667	2013	11	98.4086666666667E 28.5676666666667N	235	100	0
L10_H0	3.86	5.975	6.56	8.6375081	0.384087	19.67	20.3	30.4	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	1078	0	0
L10_H1	1.97	4.325	6.49	8.3033977	0.3741607	14.51	17.9	29.3	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	953	0	5
L10_H2	0.95	9.775	6.61	6.8609802	0.3128262	7.505	22.2	29.1	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	184	0	10
L10_H3	1.21	5	6.59	7.5679545	0.3734098	14.43	21.1	30.6	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	1122	0	25
L10_H4	1.7	13.4	6.52	10.460597	0.5093926	8.835	15.2	33.2	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	822	0	50
L10_H5	2.6	9.375	6.49	8.0610162	0.3464686	7.145	23.3	33.9	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	1243	0	100
L10_V1	2.81	9.15	6.34	13.250547	0.5123408	27.755	15.4	31.2	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	831	5	0
